,Unnamed: 0,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
12,19,"Designer II, UX Research",Samsung Electronics,"New York, NY 10011 (Chelsea area)",,The Customer & Market Insights Researcher independently designs and executes actionable research studies from concept generation through product release.,Posted13 days ago,2022-05-05
13,20,"Qualitative UX Researcher, University Grad",Facebook App,"New York, NY+10 locations",,"Work closely with product teams, as well as other researchers, to identify important research questions.
This job description represents different UX Research…",Posted30+ days ago,2022-05-05
14,21,"Lead UX Researcher, Retail",Square,"New York, NY+2 locations",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…",Posted15 days ago,2022-05-05
15,22,Principal UX Researcher (remote option available),ADP,"Remote in New York, NY 10011+1 location",,You're on a constant mission to understand them better by analyzing research data and asking key questions that inform our product and design decisions.,Posted30+ days ago,2022-05-05
16,24,Senior UX Researcher (Qualitative),Braintrust,"Remote in New York, NY",,"As the first decentralized talent network, our revolutionary Web3 model ensures the community that relies on Braintrust to find work are the same people who own…",Posted30+ days ago,2022-05-05
17,26,UX Researcher - Operating System,Cash App,"Remote in New York, NY",,"We employ a variety of qualitative and quantitative methods to accomplish our goals, including surveys, focus groups, field studies, usability tests, and 1:1…",Posted30+ days ago,2022-05-05
18,27,Founding UX Researcher,Ramp,"Remote in New York, NY 10018",,"Demonstrated experience managing user researchers and scaling user research teams.
The ideal candidate is constantly finding ways to improve the output of the…",Posted30+ days ago,2022-05-05
19,28,"Lead UX Researcher, Growth",Duolingo,"New York, NY",,"Identify and define impactful research opportunities working with product managers, UX designers, regional marketing managers, and executive leaders.",Posted30+ days ago,2022-05-05
20,29,UX Researcher,"Discovery, Inc.","New York, NY 10003 (Flatiron area)+1 location",,"Work with researchers, product managers, and designers to conduct research.
Collaborate closely with other researchers, designers, product managers and…",Posted30+ days ago,2022-05-05
21,31,UX Researcher,"Discovery, Inc.","New York, NY 10003 (Flatiron area)+1 location",,"Work with researchers, product managers, and designers to conduct research.
Collaborate closely with other researchers, designers, product managers and…",Posted30+ days ago,2022-05-05
22,32,UX Researcher - Operating System,Cash App,"Remote in New York, NY",,"We employ a variety of qualitative and quantitative methods to accomplish our goals, including surveys, focus groups, field studies, usability tests, and 1:1…",Posted30+ days ago,2022-05-05
23,33,Principal Product UX Researcher,Verizon,"New York, NY 10007 (Financial District area)",,"Clear, demonstrable experience as a product researcher, experience strategist, service designer, or similar role with a proven record of seeing products from…",Posted23 days ago,2022-05-05
24,37,Senior UX Researcher,SAKS OFF 5TH,"New York, NY 10022 (Midtown area)",,"Be part of an empowered, innovative team; work with an adventurous spirit and a customer-centric mindset; play a critical role in making decisions that will…",Posted8 days ago,2022-05-05
25,38,UX Researcher,Uber,"New York, NY 10007 (Financial District area)",,"We play an integral role in crystallizing user problems, and project vision to find inspiring new ways to Uber’s outstanding mobility and delivery options.",Posted30+ days ago,2022-05-05
26,40,Senior UX Researcher,Benefitfocus,"New York, NY",,"Benefitfocus solutions support the administration of all types of benefits including core medical, dental and other voluntary benefits plans as well as wellness…",Posted8 days ago,2022-05-05
27,41,Director of UX Research (Remote Eligible - US),Dashlane,"Remote in New York, NY 10010",,"Combining research, data, and thoughtful critique, we’re discovering needs and solving fundamental problems that impact our customers to create Dashlane’s…",Posted30+ days ago,2022-05-05
28,43,"Lead UX Researcher, Retail",Square,"New York, NY+2 locations",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…",Posted15 days ago,2022-05-05
29,44,UX Researcher,"Audacy, Inc.","New York, NY 10014 (SoHo area)",,"As such, we are looking for an experienced User Experience Researcher who works closely with the product and design teams throughout the iterative design and…",Posted30+ days ago,2022-05-05
30,46,Senior UX Researcher,Allscripts,"Remote in New York, NY",,"Experience with and interest in mentoring other UX researchers.
With the largest community of clients in healthcare, Allscripts is able to deliver an integrated…",Posted30+ days ago,2022-05-05
31,47,"UX Program Manager, UX Programs and Operations",Google,"Hybrid remote in New York, NY+2 locations",,"Bachelor's degree or equivalent practical experience.
Program management experience within design or UX organizations.
5 years of relevant industry experience.",Posted30+ days ago,2022-05-05
32,48,"Sr. UX Researcher, Advertiser Experience",Amazon.com Services LLC,"New York, NY",,"5+ years of work experience in an applied research setting and/or product development.
A strong portfolio demonstrating past work experience and research…",Posted30+ days ago,2022-05-05
33,50,CX/UX Digital Marketing Strategist - Remote,Principal Financial Group,"Remote in New York, NY 10106",,"This individual will investigate client needs, competitive analysis, lead the discovery process, conduct user research, and create the foundation for a…",Posted30+ days ago,2022-05-05
34,54,UX Writer,Level,"Remote in New York, NY 10013",,"Contribute to creating content guidelines and best practices, create systems that scale, and elevate the user experience through writing.",Posted30+ days ago,2022-05-05
35,55,UX Researcher,"Audacy, Inc.","New York, NY 10014 (SoHo area)",,"As such, we are looking for an experienced User Experience Researcher who works closely with the product and design teams throughout the iterative design and…",Posted30+ days ago,2022-05-05
36,57,Senior UX Researcher,SAKS OFF 5TH,"New York, NY 10022 (Midtown area)",,"Be part of an empowered, innovative team; work with an adventurous spirit and a customer-centric mindset; play a critical role in making decisions that will…",Posted8 days ago,2022-05-05
37,58,UX Research Lead,Major League Baseball (Internal Job Board),"New York, NY",,"We do this through the practice of a fan focused approach to product development, investing in design, content, and fan research.",Posted30+ days ago,2022-05-05
38,59,Senior UX Researcher,CVS Health,"New York, NY",,The ideal candidate will have significant work history orchestrating and conducting a wide range of usability and user research methodologies across omni…,Posted30+ days ago,2022-05-05
39,60,"Senior UX Researcher, Seller Experience",Square,"New York, NY",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…",Posted30+ days ago,2022-05-05
40,61,(Senior) UX Researcher,Roku,"Remote in New York, NY 10001+1 location",,"Collaborate with fellow world-class user researchers, across a range of different product areas.
Comfortable with accepting some guidance from UX Research…",Posted30+ days ago,2022-05-05
41,63,UX Research Lead - NYC,EY,"New York, NY 10003 (Greenwich Village area)",,"Mentor other UX researchers; understand their skill sets, strengths, and areas for improvement.
The best results come from a well-orchestrated, collaborative,…",Posted25 days ago,2022-05-05
42,64,Senior UX Researcher,Klarna,"New York, NY",,"Collaborate with other researchers, product managers, and UX designers to ensure research translates into business impact and complements the work other…",Posted30+ days ago,2022-05-05
43,65,Senior UX Researcher (remote),Splunk,"Remote in New York, NY 10001",,This role is part of the security design team and will focus on driving research initiatives for Spunk’s security portfolio.,Posted30+ days ago,2022-05-05
44,71,Senior UX Researcher,DataDog,"New York, NY",,"We’re looking for an experienced qualitative researcher to work across product teams and collaborate with designers, PMs, and engineers on some of our highest…",Posted30+ days ago,2022-05-05
45,72,"Sr. UX Researcher, Advertiser Experience",Amazon.com Services LLC,"New York, NY",,"5+ years of work experience in an applied research setting and/or product development.
A strong portfolio demonstrating past work experience and research…",Posted30+ days ago,2022-05-05
46,73,Senior UX Researcher,CVS Health,"New York, NY",,The ideal candidate will have significant work history orchestrating and conducting a wide range of usability and user research methodologies across omni…,Posted30+ days ago,2022-05-05
47,75,User Experience and Interface (UX/UI) Researcher & Designer,Webster Bank,"Hybrid remote in New York, NY 10018",,Webster Bank is looking for a dynamic UX/UI Researcher and Designer who will report to the Managing Director of User Experience and collaborate with the…,Posted20 days ago,2022-05-05
48,78,Senior UX Researcher & Innovator,Brilliant Experience,"New York, NY",,"Understanding the advantages (and limitations) of various research and design methodologies, as well as the experience and instincts to know the right…",Posted30+ days ago,2022-05-05
49,81,"VP, UX Research Lead","JPMorgan Chase Bank, N.A.","New York, NY",,"Support other researchers as needed to ensure quality and consistency of deliverables and best practices.
Looking for someone who can think outside the box and…",Posted11 days ago,2022-05-05
50,84,UX Research Manager,Rakuten Shop Style,"New York, NY 10003 (Flatiron area)",,"In this role, you will get to lead and manage all aspects of research for both our consumer and collective products, helping execute and communicate research…",Posted30+ days ago,2022-05-05
51,90,"Director, Experience Research & Insights - UX Research",MasterCard,"New York, NY 10011 (Flatiron area)",,"Be open to new challenges and have a desire to develop as a researcher and learn new skills, while also codifying best practices and mentoring or training other…",Posted30+ days ago,2022-05-05
52,91,UX Research Lead - NYC,EY,"New York, NY 10003 (Greenwich Village area)",,"Mentor other UX researchers; understand their skill sets, strengths, and areas for improvement.
The best results come from a well-orchestrated, collaborative,…",Posted25 days ago,2022-05-05
53,93,"Senior Analyst, UX Insights, Peacock",NBCUniversal,"New York, NY 10112 (Midtown area)",,A researcher ready to help conduct primary research and dig into data to identify actionable insights that help to drive and refine the user experience of…,Posted19 days ago,2022-05-05
54,94,UX Research Director - Channels,"JPMorgan Chase Bank, N.A.","New York, NY+7 locations",,"This role reports to the Managing Director, Head of Research for Digital.
As UX Research Director, within the Digital organization for Chase, you will work with…",Posted11 days ago,2022-05-05
55,97,"UX, ASSOCIATE DIRECTOR",Evoke Health,"New York, NY",,"As part of the creative group, the UX discipline within Evoke is responsible for the design and delivery of websites, online-applications, and thought…",Posted30+ days ago,2022-05-05
56,101,UX Research Lead – User Journeys,Citi,"New York, NY+1 location",,"The UX Research Lead - User Journeys (SVP) will own the documentation, simplification, and ongoing evolution of client journeys across ICG’s digital platforms…",Posted30+ days ago,2022-05-05
57,102,Sr. UX Researcher - Maps,Uber,"New York, NY 10007 (Financial District area)",,"We play an integral role in crystallizing user problems, and project vision to find inspiring new ways to Uber's outstanding mobility and delivery options.",Posted30+ days ago,2022-05-05
58,104,Senior UX Researcher,Bloomberg,"New York, NY 10261",,"The UX team is responsible for uncovering insights about our users"" needs and goals and translating these insights into valuable and highly usable software…",Posted30+ days ago,2022-05-05
59,105,"Senior UX Program Manager, UX Programs and Operations",Google,"Hybrid remote in New York, NY",,"Bachelor's degree or equivalent practical experience.
10 years of experience in UX programs and operations or a related field.",Posted30+ days ago,2022-05-05
60,106,"Product Director, UI/UX Product Line",Metropolitan Transportation Authority,"Manhattan, NY",,"Experience working with user researchers and product managers.
Supervise user experience designers and researchers in prototype development and testing.",Posted30+ days ago,2022-05-05
61,108,"VP, UX Research Lead, Design Systems","JPMorgan Chase Bank, N.A.","New York, NY",,"As the lead UX researcher on this team you will work with designers, engineers and content strategists to iterate and prove out the validity of the design…",Posted28 days ago,2022-05-05
62,109,UX Researcher,RetailMeNot,"Hybrid remote in New York, NY 10011",,"Working with our lead researcher, you’ll be responsible for delivering actionable recommendations.
Work with key stakeholders including designers, other…",Posted14 days ago,2022-05-05
63,112,UX Researcher,Corporate Insight,"Hybrid remote in New York, NY 10170",,"Looking for someone who has been doing UX research, and is looking to take their skills to the next level.
Moderating user interviews for numerous projects.",Posted9 days ago,2022-05-05
64,113,UX Researcher,"Morgan & Morgan, P.A.","Brooklyn, NY",,"You will do so by conducting primary research, exploring the behaviors and motivations of our users through methods like field visits, user interviews, surveys,…",Posted28 days ago,2022-05-05
65,115,UX Researcher,Expo,"Remote in New York, NY 10001",,"As a UX Researcher, IC you will work closely with the product managers, designers, engineers, product marketers and other cross-functional leaders to identify…",Posted30+ days ago,2022-05-05
66,117,"Senior UX Researcher, Email",Twilio,"Remote in New York, NY",,"This user researcher will partner closely with the product team to shape the roadmap for a critical product in Twilio's customer engagement suite, deeply…",Posted13 days ago,2022-05-05
67,119,UX Researcher,Braze,"New York, NY",,"Braze delivers customer experiences across email, mobile, SMS, and web.
We are searching for someone who can help to identify and understand the questions that…",Posted30+ days ago,2022-05-05
68,120,UX Researcher,Ribbon,"Remote in New York, NY 10013",,"You will get an opportunity to speak to all industry participants, develop an understanding of their unique and collective needs and lead us forward to a…",Posted30+ days ago,2022-05-05
69,121,Senior UX Researcher,Yext,"New York, NY 10010 (NoMad area)",,Yext needs an experienced Senior UX Researcher with 5+ years of design research experience to augment our Product UX team.,Posted29 days ago,2022-05-05
70,122,UX Researcher,"Morgan & Morgan, P.A.","Brooklyn, NY",,"You will do so by conducting primary research, exploring the behaviors and motivations of our users through methods like field visits, user interviews, surveys,…",Posted28 days ago,2022-05-05
71,124,"UX Researcher, Growth",Noom US,"New York, NY 10001 (Chelsea area)",,"As a Researcher on our UX Research team, you will collaborate with our large cross-functional team of product managers, designers, and data scientists to…",Posted30+ days ago,2022-05-05
72,125,UX Strategy and Research Design,Bosch Group,"Fairport, NY 14450",,"Fairport, NY is the headquarters for the Bosch Security Systems sales organization in the United States and serves as the primary site for research and…",Posted30+ days ago,2022-05-05
73,127,Senior UX Researcher,Sanity.io,"Remote in New York, NY",,"Sanity.io is the fastest, most flexible platform for delivering content to digital devices and products.
That trust is based on our product's ability to quickly…",Posted30+ days ago,2022-05-05
74,128,Senior UX Researcher,AiCure,"Remote in New York, NY",,"As senior UX researcher reporting to the VP of product management you will conduct meaningful research to reveal what the patients, clinicians and customers we…",Posted30+ days ago,2022-05-05
75,131,UX Analyst,The Arena Group,"Remote in New York, NY",,"In this role you will adapt to the company's business model, and deliver product solutions that combine qualitative insights with web analytics, quantitative…",Posted30+ days ago,2022-05-05
76,132,Senior UX Researcher,WorkFusion,"New York, NY 10005 (Financial District area)",,"As a world leader in process automation for banking, financial services, and insurance, we offer an unrivaled digital workforce platform that enables…",Posted30+ days ago,2022-05-05
77,134,Senior UX Researcher,RudderStack,"Remote in New York, NY",,"4 years + working as a user experience researcher on digital products.
We are building a customer data platform (CDP) on the customer's own data warehouse.",Posted30+ days ago,2022-05-05
78,135,Senior UX Researcher,Sanity.io,"Remote in New York, NY",,"Sanity.io is the fastest, most flexible platform for delivering content to digital devices and products.
That trust is based on our product's ability to quickly…",Posted30+ days ago,2022-05-05
79,136,Senior UX Researcher,RudderStack,"Remote in New York, NY",,"4 years + working as a user experience researcher on digital products.
We are building a customer data platform (CDP) on the customer's own data warehouse.",Posted30+ days ago,2022-05-05
80,137,Lead UX Researcher,Panorama Education,"Temporarily Remote in New York, NY",,"Work alongside our Product Design, Product Management, and Research/Data Science teams to drive highly actionable and meaningful research insights to inform…",Posted30+ days ago,2022-05-05
81,140,UX / UI Senior Manager,Rent the Runway,"Hybrid remote in New York, NY 10014",,We're strategic thinkers and problem solvers who are always searching for ways to enhance the experience of using Rent the Runway.,Posted19 days ago,2022-05-05
82,141,Senior UX Designer/Researcher,Rightway,"Remote in New York, NY",,"5+ years of solid work experience with job roles such as design researcher, UX designer, service designer, or interaction designer, including work on both…",Posted30+ days ago,2022-05-05
83,147,Senior UX Researcher,AiCure,"Remote in New York, NY",,"As senior UX researcher reporting to the VP of product management you will conduct meaningful research to reveal what the patients, clinicians and customers we…",Posted30+ days ago,2022-05-05
84,149,UX Research Manager,Calibrate,"Remote in New York, NY",,"3+ years managing junior, mid, or senior researchers.
Experience hiring, growing, and retaining high-performing researchers.",Posted30+ days ago,2022-05-05
85,151,Senior UX Researcher,AiCure,"Remote in New York, NY",,"As senior UX researcher reporting to the VP of product management you will conduct meaningful research to reveal what the patients, clinicians and customers we…",Posted30+ days ago,2022-05-05
86,153,UX Research Manager,Calibrate,"Remote in New York, NY",,"3+ years managing junior, mid, or senior researchers.
Experience hiring, growing, and retaining high-performing researchers.",Posted30+ days ago,2022-05-05
87,154,"UX Research, Manager (Remote)",Andela,"Remote in New York, NY",,"Design and lead research life-cycle from the beginning to end.
Proactively communicate findings and recommendations that will better define customer and user…",Posted30+ days ago,2022-05-05
88,155,Web/UX Manager,Mach9 LLC,"New York, NY",,"As Head of Web/UX, you will oversee the execution of Web, UX and Design streams, providing strategic leadership in UI/UX experiences for clients in regulated…",Posted8 days ago,2022-05-05
89,156,UX Analyst,The Arena Group,"Remote in New York, NY",,"In this role you will adapt to the company's business model, and deliver product solutions that combine qualitative insights with web analytics, quantitative…",Posted30+ days ago,2022-05-05
90,157,UX Research Senior Manager,FanDuel,"New York, NY",,"FanDuel Group is based in New York, with offices in California, New Jersey, Florida, Oregon and Scotland.
You'll own large, highly-strategic people management…",Posted30+ days ago,2022-05-05
91,159,"Director, UX Research",BEGiN,"Remote in New York, NY 10027",,"At least 1 year managing multiple researchers.
This role will report into our New York City or Los Angeles office or can be based remotely within select US…",Posted30+ days ago,2022-05-05
92,161,Senior UX Researcher,Peloton,"New York, NY 10011 (Chelsea area)+1 location",,"This Sr. UX Researcher will collaborate with Research, Product and Design teams to enhance the quality of the web acquisition experience in meaningful and…",Posted30+ days ago,2022-05-05
93,162,Senior UX Researcher,"Bluecore, Inc.","Remote in New York, NY 10002",,"Own the research from end to end.
Propose, design and conduct research projects to inform product discovery and to evaluate designs.",Posted30+ days ago,2022-05-05
94,163,UX Research Operations Lead,MongoDB,"Remote in New York, NY 10019",,"In this new role you'll partner with our UX Research Lead to mature the research org.
You'll create alignment across research activities by developing common…",Posted30+ days ago,2022-05-05
95,165,"Senior UX Researcher - Client Experience - Remote (US), Hybr...",Multiverse,"Remote in New York, NY",,"With this in mind, you will help drive a user-driven product roadmap, providing valuable insight into complex problems across our products.",Posted30+ days ago,2022-05-05
96,166,UX Research Specialist,Altice USA,"Bethpage, NY 11714",,Altice's Product UX/UI team is seeking an UX Researcher who'll work with our design team and product owners to ensure that our customers and other internal…,Posted30+ days ago,2022-05-05
0,0,UI/UX Researcher,Motorola Solutions,"Chicago, IL",,"As a UI/UX Researcher, you will be part of a community of researchers and designers tasked with analyzing complicated user challenges to prototype and evaluate…",Posted22 days ago,2022-05-05
1,1,UX Researcher,Allstate,"Remote in Northbrook, IL+1 location",,"Practice true user-centered design, supported by robust research and analytics capabilities.
At Allstate, you’ll help innovate and reinvent insurance and…",Posted30+ days ago,2022-05-05
2,2,Sr. UX Researcher,Allstate,"Remote in Northbrook, IL",,"Practice true user-centered design, supported by robust research and analytics capabilities.
At Allstate, you’ll help innovate and reinvent insurance and…",Posted30+ days ago,2022-05-05
3,3,UX Researcher,HelloFresh,"Remote in Chicago, IL+1 location",,"Our weekly boxes full of exciting recipes and fresh ingredients have blossomed into a community of customers looking for delicious, healthy and sustainable…",Posted30+ days ago,2022-05-05
4,4,UX Research Associate,Creative Circle,"Remote in Chicago, IL 60624+2 locations",,"Assist other user researchers with various user research preparation activities.
Type Freelance (40 hours a week).
1+ years of relevant work experience.",Posted11 days ago,2022-05-05
5,6,UX Researcher,RetailMeNot,"Hybrid remote in Chicago, IL 60601",,"Working with our lead researcher, you’ll be responsible for delivering actionable recommendations.
Work with key stakeholders including designers, other…",Posted14 days ago,2022-05-05
6,7,UX Researcher,Bold Insight,"Remote in Downers Grove, IL+1 location",,"Master’s Degree in behavioral research or comparable experience as a user experience researcher, human factors practitioner, industrial engineer, cognitive…",Posted15 days ago,2022-05-05
7,8,"UX Researcher, Small Business",PayPal,"Chicago, IL 60618 (Avondale area)+1 location",,"Analyze data, develop impactful insights and deliverables, with the support of a senior researcher.
At PayPal, UX Researchers influence teams to make customer…",Posted19 days ago,2022-05-05
8,11,UX Researcher,Jumpcloud,"Remote in Chicago, IL",,"Collaborating and partnering with other researchers, product designers, and product managers to conduct research.
Experience implementing a research repository.",Posted8 days ago,2022-05-05
9,13,Senior UX Researcher,Anthem,"Chicago, IL 60601 (Loop area)",,"Responsible for coordinating and consolidating various impact analyses for management reporting.
Responsible for leading the qualitative and quantitative…",Posted30+ days ago,2022-05-05
10,16,UX Researcher,Jumpcloud,"Remote in Chicago, IL",,"Collaborating and partnering with other researchers, product designers, and product managers to conduct research.
Experience implementing a research repository.",Posted8 days ago,2022-05-05
11,21,Senior UX Researcher,Kin Insurance,"Remote in Chicago, IL",,"We are looking for a Senior Design Researcher to be a part of our growing design team to help shape and design various research studies, execute a variety of…",Posted29 days ago,2022-05-05
12,22,UX Researcher,Klover,"Remote in Chicago, IL",,We're looking for someone who is passionate about the user and keen to identify unique user needs and behaviors to help create and build financial tools and…,Posted30+ days ago,2022-05-05
13,23,UX Researcher | USA - Fully Remote,"FFW - One Global Team. 
A World of Opportunities.","Remote in Arlington Heights, IL 60005",,"You will be responsible for helping define and drive the future of our clients' web applications.
We support each project as an advocate for the customer,…",EmployerActive 13 days ago,2022-05-05
14,24,UX Researcher,iManage,"Chicago, IL 60606 (Loop area)",,"You will impact the direction for a suite of enterprise software solutions across multiple domains (security, Artificial Intelligence/Machine Learning,…",Posted30+ days ago,2022-05-05
15,26,UX RESEARCH MANAGER,Cella,"Remote in Chicago, IL+2 locations",,"Our client in the insurance industry is currently looking for a UX Research Manager.
Their ideal candidate will leverage qualitative and quantitative research…",Posted13 days ago,2022-05-05
16,28,"Lead UX Researcher, Payments",Square,"Chicago, IL 60647 (Logan Square area)",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…",Posted15 days ago,2022-05-05
17,29,Staff UX Researcher,ServiceNow,"Remote in Chicago, IL 60607+1 location",,"Our Researchers enable product management, design, and engineering leadership to make data-driven product strategy decisions.
Master degree or PhD is a bonus.",Posted30+ days ago,2022-05-05
18,31,Senior UX Researcher,Kin Insurance,"Remote in Chicago, IL",,"We are looking for a Senior Design Researcher to be a part of our growing design team to help shape and design various research studies, execute a variety of…",Posted29 days ago,2022-05-05
19,33,Senior Product UX Researcher,DataRobot,"Chicago, IL",,"Ideally, experience managing other researchers.
You are a skilled, professional user researcher with 7+ years of relevant experience conducting research for…",Posted30+ days ago,2022-05-05
20,34,"Senior UX Researcher, User Research",JLL,"Chicago, IL",,As a UX Researcher you will be directly responsible for leading experience/design research activity across multiple products within Enterprise Apps uncovering…,Posted9 days ago,2022-05-05
21,36,UX Researcher & Designer,Willis Towers Watson,"Remote in Chicago, IL",,This role with be working across our Talent & Reward product portfolio to research and discover opportunities for cross-product solutions that bring value to…,Posted30+ days ago,2022-05-05
22,38,UX Researcher,iManage,"Chicago, IL 60606 (Loop area)",,"You will impact the direction for a suite of enterprise software solutions across multiple domains (security, Artificial Intelligence/Machine Learning,…",Posted30+ days ago,2022-05-05
23,39,UX Researcher,Gallagher,"Temporarily Remote in Chicago, IL 60632",,The UX and Marketing Research Specialist role will help to move our business forward to create dynamic digital experiences that drive leads across Gallagher…,Posted30+ days ago,2022-05-05
24,42,UX Designer / Researcher,TA Digital,"Chicago, IL 60604 (The Loop area)",,TA Digital is a digital transformation agency with 30-40% growth year-over-year focused on hiring leaders within the digital marketing space to support growth…,Posted30+ days ago,2022-05-05
25,43,UX Research Associate,Creative Circle,"Remote in Chicago, IL 60624+2 locations",,"Assist other user researchers with various user research preparation activities.
Type Freelance (40 hours a week).
1+ years of relevant work experience.",Posted11 days ago,2022-05-05
26,44,Sr. UX Researcher,Spekit,"Remote in Chicago, IL",,"Say goodbye to distracted zoom training sessions and lengthy LMS courses your teams will forget.
This role aids the Product Design team in converting…",Posted21 days ago,2022-05-05
27,45,Principal UX Researcher,Fyllo,"Hybrid remote in Chicago, IL",,"10 years of experience as a qualitative researcher and/or other relevant research work (human factors, anthropologist, UX, etc.).",Posted30+ days ago,2022-05-05
28,46,Sr. UX Researcher,Spekit,"Remote in Chicago, IL",,"Say goodbye to distracted zoom training sessions and lengthy LMS courses your teams will forget.
This role aids the Product Design team in converting…",Posted21 days ago,2022-05-05
29,48,Senior UX Researcher - Remote,EPAM Systems,"Remote in Chicago, IL",,EPAM’s Experience Design (ExD) team is looking for a Senior Human Factors Researcher to assist internal development teams on user interface design and usability…,Posted13 days ago,2022-05-05
30,49,UX Analyst,Great Wolf Lodge,"Chicago, IL 60654 (River North area)",,"Summary: The UX Analyst will be an experienced specialist in user research methods and tools as well as analytics tools.
Analytics and other research tools.",Posted30+ days ago,2022-05-05
31,50,Senior Product UX Researcher,DataRobot,"Chicago, IL",,"Ideally, experience managing other researchers.
You are a skilled, professional user researcher with 7+ years of relevant experience conducting research for…",Posted30+ days ago,2022-05-05
32,51,Senior UX Researcher,CVS Health,"Northbrook, IL 60062",,The ideal candidate will have significant work history orchestrating and conducting a wide range of usability and user research methodologies across omni…,Posted30+ days ago,2022-05-05
33,52,Senior UX Researcher,Syntellis Performance Solutions,"Remote in Chicago, IL",,"As the first UX researcher you will work alongside UX leadership to drive the future and roadmap of the research practices.
Generous PTO and Paid Holidays.",Posted30+ days ago,2022-05-05
34,53,Senior UX Researcher (Remote),Chamberlain Group,"Remote in Oak Brook, IL 60523",,"Bachelor’s in a human behavior related field such as HCI (Human Computer Interaction, Psychology, Anthropology, Human Factors or related field) or equivalent…",Posted30+ days ago,2022-05-05
35,55,UX Analyst,"Great Lakes Services, LLC","Chicago, IL 60654 (Loop area)",,"Summary: The UX Analyst will be an experienced specialist in user research methods and tools as well as analytics tools.
Analytics and other research tools.",Posted30+ days ago,2022-05-05
36,59,UX Lead,John Deere,"Hybrid remote in Chicago, IL",,"Visa sponsorship is NOT available for this position.
As a UX Lead for (John Deere) located in Moline, IL, you will be an unbiased strategic partner to product…",Posted30+ days ago,2022-05-05
37,61,"Senior Manager, UX Research & Measurement",Grainger,"Chicago, IL 60603 (Loop area)",,"Chicago, IL - Hybrid Position Details: At Grainger, we are building systems to extend our market leadership for another 90 years. We are looking for a Sr…",Posted8 days ago,2022-05-05
38,67,UX Senior Strategist - Experience Strategy,Credera,"Chicago, IL",,UX Senior Strategist Experience StrategyChicago Description Are you passionate about solving user problems? How about bridging the gaps between business…,Posted30+ days ago,2022-05-05
39,68,UX Senior Strategist,Credera Experienced Hiring Job Board,"Chicago, IL",,Are you passionate about solving user problems? How about bridging the gaps between business and user experience? Do you want the chance to work with an…,Posted30+ days ago,2022-05-05
